PDO IOC — Consolidated Alarm Solution (CAS)  |  Clarification & Requirements Register,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"74 sites · multi-vendor DCS (Honeywell / Emerson / Yokogawa / Foxboro / Matrikon; future ABB / GE) · Edge-to-Broker architecture · No DCOM / No OPC Tunneler.  Questions to be issued to PDO and Yokogawa.  Addressee: P = PDO, Y = Yokogawa, B = Both.",,,,,,
ID,Category,Question / Clarification Required,Why It Matters (Rationale),Addressee,Priority,Response (to be completed by PDO / Yokogawa)
1. Scope & Requirements Clarification,,,,,,
1.1,Scope & Requirements Clarification,"The spec references integration with AVEVA System Platform / Wonderware (rows 17, 29, 30) and a System Platform tag-count impact (row 53), yet the current direction(as pe the dicussion yesterday with Mr. Girish) indicates this may be descoped in favour of standalone operator stations. Please confirm definitively: is AVEVA System Platform / IOC SCADA integration IN or OUT of scope?","This single answer reshapes the client UI, the licensing model and the System Platform tag-count requirement. It is the largest open variable in the design.",Both,Critical,
1.2,Scope & Requirements Clarification,"Confirm the total number of DCS / OPC source systems across the 74 sites, broken down by OEM (Honeywell / Emerson / Yokogawa / Foxboro / Matrikon / other).","Drives the number of edge collectors, connector licences and total integration effort.",PDO,High,
1.3,Scope & Requirements Clarification,"Are all 74 sites on one common PCD / OT network, or distributed across remote WAN links into the IOC? Please provide the network topology between sites, the CCR and the IOC.","Determines whether edge collectors publish to a single broker or to regional aggregation brokers, and the bandwidth/latency budget.",PDO,Critical,
2. Architecture & the No-DCOM Constraint,,,,,,
2.1,Architecture & the No-DCOM Constraint,"To honour 'No DCOM and No OPC Tunneler', our edge-to-broker model needs the edge collector to run locally alongside each OPC A&E source (local COM, no remote DCOM). Are we permitted to install our lightweight edge agent directly on the existing OEM OPC A&E server or in a separate machine in the same layer?",Local installation is the direct technical consequence of the No-DCOM rule.,Both,Critical,
2.2,Architecture & the No-DCOM Constraint,"If installing third-party software on the existing OPC server VM/server machine is prohibited by OEM warranty or PCD policy, what is the approved topology for local extraction — e.g. will PDO provision an adjacent VM/Server on the identical local subnet so the OPC connection remains local within the same layer?","If we cannot co-reside on the OPC server machine, PDO must provision adjacent edge server/VM",Both,Critical,
2.3,Architecture & the No-DCOM Constraint,"Please confirm acceptance of the edge-to-broker pattern (MQTT / Sparkplug B over TLS) as the PCD-to-IOC transport, replacing DCOM and OPC tunnelling.",Confirms the foundational transport choice satisfies the No-DCOM/No-Tunneler requirement and cyber policy.,Both,High,
2.4,Architecture & the No-DCOM Constraint,"Spec requires a 'single string per OPC A&E server'. Confirm this means one A&E subscription session per server, filtered at the edge — not per-tag DA polling.","Confirms the low-load, event-driven A&E subscription model the spec intends and avoids OPC-server overload.",Yokogawa,Medium,
"3. Infrastructure, Virtualization & PCD Compliance",,,,,,
3.1,"Infrastructure, Virtualization & PCD Compliance",Is deployment of Docker / Kubernetes (containerization) officially approved and supported within the PDO PCD?,Modern brokered architectures often containerize. the answer dictates the deployment model.,PDO,High,
3.2,"Infrastructure, Virtualization & PCD Compliance","If containers are not approved, confirm we are limited to PDO-provided Windows Server / Linux VMs for the broker and central services, and state the standard OS builds/versions available.",Locks the supported deployment platform and OS baseline for sizing and compatibility.,PDO,High,
3.3,"Infrastructure, Virtualization & PCD Compliance",What CPU / RAM / disk resources are available on the OPC A&E VMs (or adjacent edge VMs) to host the edge agent and buffer store-and-forward data during outages?,Required to size the local buffer for the mandated store-and-forward / backfill capability.,PDO,High,
3.4,"Infrastructure, Virtualization & PCD Compliance","Will PDO provide the central / IOC compute (VMs, storage, database hosting), or must it be included in our offer?",Determines hardware scope and pricing for the central tier.,PDO,High,
3.5,"Infrastructure, Virtualization & PCD Compliance","Confirm the virtualization/hypervisor standard in the PCD and IOC (VMware vSphere, Hyper-V, etc.) and any mandated hardening baseline",Ensures our components are certified/supported on the target platform and meet hardening rules.,PDO,Medium,
4. Network & Cybersecurity,,,,,,
4.1,Network & Cybersecurity,Is there a DMZ between the PCD/CCR and the IOC? Please provide the Purdue-level segmentation and the security zones the solution must traverse.,"Defines where the broker bridge and any DMZ-resident services sit, and how many zone boundaries data crosses.",PDO,Critical,
4.2,Network & Cybersecurity,"If acknowledgment from the IOC is required, can firewalls permit the specific bidirectional edge-to-broker path, or must acknowledgment be local-only at the DCS?",Confirms whether a controlled return channel is allowed or whether ack stays at the DCS.,Both,Critical,
4.3,Network & Cybersecurity,Which secure protocols and ports are approved by PDO cybersecurity for edge-to-broker traffic (e.g. MQTT over TLS 1.2/1.3 on port 8883)?,Firewall rules and the transport binding cannot be finalised without approved protocol/port.,PDO,High,
5. Multi-Vendor OPC Connectivity & Data Handling,,,,,,
5.1,Multi-Vendor OPC Connectivity & Data Handling,"Provide each DCS platform with its exact OPC A&E (and DA where used) server product and version (Honeywell, Emerson, Yokogawa, Foxboro, Matrikon).",Connector compatibility and certified versions must be verified per OEM before commitment.,Both,High,
5.2,Multi-Vendor OPC Connectivity & Data Handling,"Foxboro does not expose OPC A&E like the other DCS. Confirm the alternative integration is via SQL, provide the source schema, and confirm a synchronization time <= 5 s is achievable and acceptable.",Foxboro is the exception case; the SQL path and 5-second sync target must be validated against the actual schema.,Both,High,
5.3,Multi-Vendor OPC Connectivity & Data Handling,"For Sequence of Events: must the CAS preserve the original millisecond timestamp generated at the lowest-level controller, and do all legacy OPC A&E servers actually pass this granular SOE timestamp (versus server-receive time)?","SOE fidelity depends on the source. If servers only pass receive-time, true ms SOE cannot be guaranteed and expectations must be reset.",Both,High,
5.4,Multi-Vendor OPC Connectivity & Data Handling,What time-synchronization source/standard (NTP / PTP) is used across the sites so cross-vendor SOE ordering is coherent?,Consistent time base is prerequisite for merging SOE from different OEMs into one ordered table.,PDO,Medium,
5.5,Multi-Vendor OPC Connectivity & Data Handling,"Are alarm normalization / formatting rules required when consolidating events from disparate OEMs into one unified real-time alarm table (priority mapping, condition naming, area/asset model)?",Defines the normalization layer in the edge/central tier and the effort to map each OEM's model.,Both,Medium,
5.6,Multi-Vendor OPC Connectivity & Data Handling,"When a new DCS alarm/tag is added, must the CAS alarm database and banners update automatically (auto-discovery), or is manual reconfiguration acceptable? (Spec row 40.)",Auto-discovery vs manual config materially changes design complexity and lifecycle effort.,Both,Medium,
